,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
0,47.25,47.25,2013/4/25,47,132,39,LC08_132039_20130425
1,3.82,3.82,2013/5/27,47,132,39,LC08_132039_20130527
2,15.48,15.48,2013/6/12,47,132,39,LC08_132039_20130612
3,21.98,21.98,2013/6/28,47,132,39,LC08_132039_20130628
4,51.48,51.48,2013/7/14,47,132,39,LC08_132039_20130714
5,75.81,75.81,2013/7/30,47,132,39,LC08_132039_20130730
6,21.62,21.62,2013/8/15,47,132,39,LC08_132039_20130815
7,67.3,67.3,2013/8/31,47,132,39,LC08_132039_20130831
8,47.86,47.86,2013/9/16,47,132,39,LC08_132039_20130916
9,51.27,51.27,2013/10/18,47,132,39,LC08_132039_20131018
10,56.59,56.59,2013/11/3,47,132,39,LC08_132039_20131103
11,18.65,18.65,2013/11/19,47,132,39,LC08_132039_20131119
12,2.85,2.85,2013/12/5,47,132,39,LC08_132039_20131205
13,3.61,3.61,2013/12/21,47,132,39,LC08_132039_20131221
14,4.87,4.87,2014/1/6,47,132,39,LC08_132039_20140106
15,2.89,2.89,2014/1/22,47,132,39,LC08_132039_20140122
16,3.74,3.74,2014/2/7,47,132,39,LC08_132039_20140207
17,10,10,2014/2/23,47,132,39,LC08_132039_20140223
18,58.68,58.68,2014/3/11,47,132,39,LC08_132039_20140311
19,48.64,48.64,2014/3/27,47,132,39,LC08_132039_20140327
20,16.38,16.38,2014/4/12,47,132,39,LC08_132039_20140412
21,71.8,71.8,2014/4/28,47,132,39,LC08_132039_20140428
22,74.23,74.23,2014/5/14,47,132,39,LC08_132039_20140514
23,13.22,13.22,2014/5/30,47,132,39,LC08_132039_20140530
24,82.82,82.82,2014/6/15,47,132,39,LC08_132039_20140615
25,67.08,67.08,2014/7/17,47,132,39,LC08_132039_20140717
26,72.9,72.9,2014/8/2,47,132,39,LC08_132039_20140802
27,68.54,68.54,2014/9/19,47,132,39,LC08_132039_20140919
28,34.6,34.6,2014/10/5,47,132,39,LC08_132039_20141005
29,0.86,0.86,2014/10/21,47,132,39,LC08_132039_20141021
30,29.85,29.85,2014/11/6,47,132,39,LC08_132039_20141106
31,1.73,1.73,2014/11/22,47,132,39,LC08_132039_20141122
32,0.59,0.59,2014/12/8,47,132,39,LC08_132039_20141208
33,7.07,7.07,2014/12/24,47,132,39,LC08_132039_20141224
34,12.95,12.95,2015/1/9,47,132,39,LC08_132039_20150109
35,8.2,8.2,2015/1/25,47,132,39,LC08_132039_20150125
36,43.72,43.72,2015/2/10,47,132,39,LC08_132039_20150210
37,7.21,7.21,2015/2/26,47,132,39,LC08_132039_20150226
