,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
0,18.4,18.4,2021-11-16,47,132,38,LC09_132038_20211116
1,3.4,3.4,2021-11-11,47,132,39,LC09_132039_20211111
2,7.74,7.74,2021-11-16,47,132,39,LC09_132039_20211116
3,3.33,3.33,2021-12-19,47,132,39,LC09_132039_20211219
4,47.01,47.01,2022-01-04,47,132,39,LC09_132039_20220104
5,15.2,15.2,2022-01-20,47,132,39,LC09_132039_20220120
6,80.83,80.83,2022-02-05,47,132,39,LC09_132039_20220205
7,72.55,72.55,2022-02-21,47,132,39,LC09_132039_20220221
8,3.54,3.54,2022-03-09,47,132,39,LC09_132039_20220309
9,61.86,61.86,2022-03-25,47,132,39,LC09_132039_20220325
10,2.83,2.83,2022-04-10,47,132,39,LC09_132039_20220410
11,66.45,66.45,2022-04-26,47,132,39,LC09_132039_20220426
12,77.72,77.72,2022-05-12,47,132,39,LC09_132039_20220512
13,51.07,51.07,2022-05-28,47,132,39,LC09_132039_20220528
14,88.95,88.95,2022-06-29,47,132,39,LC09_132039_20220629
15,15.91,15.91,2022-07-15,47,132,39,LC09_132039_20220715
16,80.13,80.13,2022-07-31,47,132,39,LC09_132039_20220731
17,38.88,38.88,2022-08-16,47,132,39,LC09_132039_20220816
18,91.8,91.8,2022-09-01,47,132,39,LC09_132039_20220901
19,46.92,46.92,2022-09-17,47,132,39,LC09_132039_20220917
20,47.25,47.25,2022-10-03,47,132,39,LC09_132039_20221003
21,7.07,7.07,2022-10-19,47,132,39,LC09_132039_20221019
22,42.02,42.02,2022-11-04,47,132,39,LC09_132039_20221104
23,0.85,0.85,2022-11-20,47,132,39,LC09_132039_20221120
24,8.39,8.39,2021-11-11,47,132,40,LC09_132040_20211111
25,2.52,2.52,2021-11-16,47,132,40,LC09_132040_20211116
26,1.94,1.94,2021-12-19,47,132,40,LC09_132040_20211219
27,42.34,42.34,2022-01-04,47,132,40,LC09_132040_20220104
28,34.7,34.7,2022-01-20,47,132,40,LC09_132040_20220120
29,99.98,99.98,2022-02-21,47,132,40,LC09_132040_20220221
30,1.92,1.92,2022-03-09,47,132,40,LC09_132040_20220309
31,65.62,65.62,2022-03-25,47,132,40,LC09_132040_20220325
32,6.25,6.25,2022-04-10,47,132,40,LC09_132040_20220410
33,62.44,62.44,2022-04-26,47,132,40,LC09_132040_20220426
34,64.37,64.37,2022-05-28,47,132,40,LC09_132040_20220528
35,32.26,32.26,2022-07-15,47,132,40,LC09_132040_20220715
36,83.11,83.11,2022-07-31,47,132,40,LC09_132040_20220731
37,76.0,76.0,2022-08-16,47,132,40,LC09_132040_20220816
38,74.53,74.53,2022-09-17,47,132,40,LC09_132040_20220917
39,89.31,89.31,2022-10-03,47,132,40,LC09_132040_20221003
40,34.35,34.35,2022-10-19,47,132,40,LC09_132040_20221019
41,22.53,22.53,2022-11-04,47,132,40,LC09_132040_20221104
42,0.57,0.57,2022-11-20,47,132,40,LC09_132040_20221120
43,32.88,32.88,2021-11-11,47,132,41,LC09_132041_20211111
44,2.13,2.13,2021-11-16,47,132,41,LC09_132041_20211116
45,1.83,1.83,2021-12-19,47,132,41,LC09_132041_20211219
46,70.56,70.56,2022-01-04,47,132,41,LC09_132041_20220104
47,75.01,75.01,2022-01-20,47,132,41,LC09_132041_20220120
48,97.77,97.77,2022-02-05,47,132,41,LC09_132041_20220205
49,2.05,2.05,2022-03-09,47,132,41,LC09_132041_20220309
50,87.09,87.09,2022-03-25,47,132,41,LC09_132041_20220325
51,33.61,33.61,2022-04-10,47,132,41,LC09_132041_20220410
52,18.77,18.77,2022-04-26,47,132,41,LC09_132041_20220426
53,25.97,25.97,2022-07-15,47,132,41,LC09_132041_20220715
54,69.19,69.19,2022-09-17,47,132,41,LC09_132041_20220917
55,34.12,34.12,2022-11-04,47,132,41,LC09_132041_20221104
56,0.3,0.3,2022-11-20,47,132,41,LC09_132041_20221120
57,61.21,61.21,2021-11-21,47,133,38,LC09_133038_20211121
58,30.23,30.23,2021-12-10,47,133,38,LC09_133038_20211210
59,30.34,30.34,2021-12-26,47,133,38,LC09_133038_20211226
60,62.42,62.42,2022-01-11,47,133,38,LC09_133038_20220111
61,53.63,53.63,2022-01-27,47,133,38,LC09_133038_20220127
62,83.02,83.02,2022-02-12,47,133,38,LC09_133038_20220212
63,92.41,92.41,2022-02-28,47,133,38,LC09_133038_20220228
64,99.93,99.93,2022-04-01,47,133,38,LC09_133038_20220401
65,94.95,94.95,2022-05-03,47,133,38,LC09_133038_20220503
66,81.12,81.12,2022-06-04,47,133,38,LC09_133038_20220604
67,43.5,43.5,2022-06-20,47,133,38,LC09_133038_20220620
68,0.44,0.44,2022-07-06,47,133,38,LC09_133038_20220706
69,16.6,16.6,2022-07-22,47,133,38,LC09_133038_20220722
70,23.72,23.72,2022-08-07,47,133,38,LC09_133038_20220807
71,15.86,15.86,2022-08-23,47,133,38,LC09_133038_20220823
72,38.56,38.56,2022-09-08,47,133,38,LC09_133038_20220908
73,82.0,82.0,2022-10-26,47,133,38,LC09_133038_20221026
74,3.86,3.86,2022-11-11,47,133,38,LC09_133038_20221111
75,39.38,39.38,2021-11-21,47,133,39,LC09_133039_20211121
76,5.92,5.92,2021-12-10,47,133,39,LC09_133039_20211210
77,29.62,29.62,2021-12-26,47,133,39,LC09_133039_20211226
78,13.68,13.68,2022-01-11,47,133,39,LC09_133039_20220111
79,62.54,62.54,2022-01-27,47,133,39,LC09_133039_20220127
80,100.0,100.0,2022-02-12,47,133,39,LC09_133039_20220212
81,66.74,66.74,2022-02-28,47,133,39,LC09_133039_20220228
82,67.45,67.45,2022-06-04,47,133,39,LC09_133039_20220604
83,42.27,42.27,2022-06-20,47,133,39,LC09_133039_20220620
84,2.05,2.05,2022-07-06,47,133,39,LC09_133039_20220706
85,77.37,77.37,2022-07-22,47,133,39,LC09_133039_20220722
86,46.4,46.4,2022-08-07,47,133,39,LC09_133039_20220807
87,31.36,31.36,2022-08-23,47,133,39,LC09_133039_20220823
88,88.82,88.82,2022-09-24,47,133,39,LC09_133039_20220924
89,68.58,68.58,2022-10-10,47,133,39,LC09_133039_20221010
90,74.11,74.11,2022-10-26,47,133,39,LC09_133039_20221026
91,1.37,1.37,2022-11-11,47,133,39,LC09_133039_20221111
92,42.2,42.2,2021-11-21,47,133,40,LC09_133040_20211121
93,22.54,22.54,2021-12-10,47,133,40,LC09_133040_20211210
94,51.02,51.02,2021-12-26,47,133,40,LC09_133040_20211226
95,50.58,50.58,2022-01-11,47,133,40,LC09_133040_20220111
