,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,Systemindex
0,87.7008,87.7008,160.516281123,55.7233531797,20180102T043149_20180102T043143_T46REU
1,80.7964,80.7964,160.658846846,56.5904544822,20180102T043149_20180102T043143_T46REV
2,100.0,100.0,161.607131504,55.4270740923,20180102T043149_20180102T043143_T46RFU
3,82.2789,82.2789,161.750717466,56.2959322692,20180102T043149_20180102T043143_T46RFV
4,86.729,86.729,161.887723357,57.1644484441,20180102T043149_20180102T043143_T46SFA
5,92.9365,92.9365,162.018587081,58.033628216,20180102T043149_20180102T043143_T46SFB
6,26.0599,26.0599,156.825327763,54.0836599701,20180102T043149_20180102T043943_T46RBR
7,85.8594,85.8594,156.991978416,54.9417660354,20180102T043149_20180102T043943_T46RBS
8,86.8179,86.8179,157.148614143,55.8001443598,20180102T043149_20180102T043943_T46RBT
9,100.0,100.0,157.295725407,56.6597674412,20180102T043149_20180102T043943_T46RBU
10,23.1188,23.1188,157.711508402,52.8951784984,20180102T043149_20180102T043943_T46RCQ
11,25.0718,25.0718,157.887888521,53.7554569965,20180102T043149_20180102T043943_T46RCR
12,88.8728,88.8728,158.054622416,54.6164484469,20180102T043149_20180102T043943_T46RCS
13,94.2291,94.2291,158.211941544,55.4775810194,20180102T043149_20180102T043943_T46RCT
14,92.9676,92.9676,158.360331664,56.3398386004,20180102T043149_20180102T043943_T46RCU
15,96.6841,96.6841,158.499954668,57.2026610139,20180102T043149_20180102T043943_T46RCV
16,87.5814,87.5814,158.784617968,52.5728078011,20180102T043149_20180102T043943_T46RDQ
17,78.7912,78.7912,158.960124764,53.4358420829,20180102T043149_20180102T043943_T46RDR
18,90.6274,90.6274,159.126581564,54.2994657996,20180102T043149_20180102T043943_T46RDS
19,86.7796,86.7796,159.284249468,55.1631026699,20180102T043149_20180102T043943_T46RDT
20,87.0919,87.0919,159.43360409,56.0277479818,20180102T043149_20180102T043943_T46RDU
21,100.0,100.0,159.868532299,52.2591673497,20180102T043149_20180102T043943_T46REQ
22,96.9217,96.9217,160.04279708,53.1246884673,20180102T043149_20180102T043943_T46RER
23,90.7893,90.7893,160.208616432,53.9906837995,20180102T043149_20180102T043943_T46RES
24,82.5993,82.5993,160.366282643,54.8565723029,20180102T043149_20180102T043943_T46RET
25,61.6144,61.6144,160.516281123,55.7233531797,20180102T043149_20180102T043943_T46REU
26,83.0665,83.0665,160.658846846,56.5904544822,20180102T043149_20180102T043943_T46REV
27,100.0,100.0,161.607131504,55.4270740923,20180102T043149_20180102T043943_T46RFU
28,100.0,100.0,156.288316819,55.0940360878,20180103T040139_20180103T040409_T47RLM
29,100.0,100.0,157.343760972,54.7513052055,20180103T040139_20180103T040409_T47RMM
30,100.0,100.0,157.516577755,55.6063350865,20180103T040139_20180103T040409_T47RMN
31,100.0,100.0,157.680542733,56.4624975385,20180103T040139_20180103T040409_T47RMP
32,99.375,99.375,157.835816682,57.3192369618,20180103T040139_20180103T040409_T47RMQ
33,99.8995,99.8995,158.58329459,55.273900686,20180103T040139_20180103T040409_T47RNN
34,100.0,100.0,158.748601712,56.1323804742,20180103T040139_20180103T040409_T47RNP
35,0.0,0.0,158.839693801,56.8936389317,20180104T042151_20180104T042145_T46RFV
