,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,HIGH_PROBA_CLOUDS_PERCENTAGE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,SNOW_ICE_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,Systemindex
0,98.618537,98.618537,0.331229,53.728122,156.928228906,54.0973265952,44.890192,25.859088,0.06202,0.110654,0.000224,0.042347,0.00222,20200102T043149_20200102T043308_T46RBR
1,51.283675,51.283675,2.035388,15.567869,157.093669283,54.9559479393,35.715806,48.381656,22.897983,3.941336,0.0,0.177448,3.158399,20200102T043149_20200102T043308_T46RBS
2,17.736243,17.736243,0.224436,0.799106,157.249155959,55.8148254505,16.937137,70.349759,60.791862,0.111966,0.0,0.00696,12.431144,20200102T043149_20200102T043308_T46RBT
3,88.301034,88.301034,0.022588,13.798822,157.395160867,56.6749378904,74.502212,92.009622,5.481984,0.134078,0.0,0.0,0.001329,20200102T043149_20200102T043308_T46RBU
4,90.766555,90.766555,0.201422,51.278412,157.81581617,52.9098126009,33.747494,0.103344,1.147868,2.254366,5.740648,1.584429,0.630321,20200102T043149_20200102T043308_T46RCQ
5,78.932381,78.932381,1.368124,25.162297,157.990910936,53.7706017914,48.604473,0.0,1.765824,1.329216,5.16561,6.952771,0.003348,20200102T043149_20200102T043308_T46RCR
6,38.897094,38.897094,1.533001,16.141921,158.156408356,54.6320929942,22.755173,3e-06,37.478924,4.817708,0.0,0.680459,0.691242,20200102T043149_20200102T043308_T46RCS
7,33.48321,33.48321,0.380536,9.10082,158.312557886,55.4937087664,24.38239,1.3e-05,52.423066,0.457328,0.0,0.007747,0.975471,20200102T043149_20200102T043308_T46RCT
8,92.70806,92.70806,0.088459,33.195052,158.459818226,56.3564415389,59.513009,3.71583,3.968313,0.185065,0.0,0.000886,0.228879,20200102T043149_20200102T043308_T46RCU
9,99.709153,99.709153,0.000424,33.607101,158.598378832,57.2197226528,66.102052,23.23069,0.012451,0.109558,0.0,0.0,0.006163,20200102T043149_20200102T043308_T46RCV
